Common Name,Scientific Name,Count,Threshold
CorsicanFinch,Carduelis corsicana,51,0.3400000035762787
Pied-billedGrebe,Podilymbus podiceps,51,0.47999998927116394
HouseCrow,Corvus splendens,51,0.3499999940395355
Red-footedFalcon,Falco vespertinus,51,0.29999998211860657
Blue-cheekedBee-eater,Merops persicus,51,0.38999998569488525
SquaccoHeron,Ardeola ralloides,51,0.1599999964237213
HelmetedGuineafowl,Numida meleagris,51,0.5300000309944153
SpottedSandpiper,Actitis macularius,51,0.12999999523162842
BootedWarbler,Iduna caligata,51,0.8400000333786011
ElegantTern,Thalasseus elegans,51,0.8100000023841858
DemoiselleCrane,Anthropoides virgo,51,0.6000000238418579
White-throatedKingfisher,Halcyon smyrnensis,51,0.22999998927116394
SnowGoose,Anser caerulescens,51,0.17000000178813934
LanceolatedWarbler,Locustella lanceolata,51,0.7900000214576721
RedAvadavat,Amandava amandava,51,0.12999999523162842
WesternRockNuthatch,Sitta neumayer,52,0.3799999952316284
RosyStarling,Pastor roseus,52,0.4699999988079071
ChukarPartridge,Alectoris chukar,52,0.3799999952316284
PurpleSandpiper,Calidris maritima,52,0.41999998688697815
WoodDuck,Aix sponsa,52,0.3999999761581421
BlackGuillemot,Cepphus grylle,52,0.29999998211860657
Yellow-headedAmazon,Amazona oratrix,52,0.7200000286102295
Bar-headedGoose,Anser indicus,52,0.4899999797344208
GracefulPrinia,Prinia gracilis,52,0.7400000095367432
Blue-crownedParakeet,Psittacara acuticaudatus,52,0.3400000035762787
LaughingDove,Spilopelia senegalensis,52,0.3400000035762787
PiedKingfisher,Ceryle rudis,52,0.7699999809265137
TrumpeterFinch,Bucanetes githagineus,53,0.4099999964237213
Vinous-throatedParrotbill,Sinosuthora webbiana,53,0.429999977350235
OrientalCuckoo,Cuculus optatus,53,0.3499999940395355
MadeiraFirecrest,Regulus madeirensis,53,0.6600000262260437
Broad-billedSandpiper,Calidris falcinellus,53,0.22999998927116394
EurasianSpoonbill,Platalea leucorodia,53,0.14999999105930328
Grey-headedChickadee,Poecile cinctus,53,0.4399999976158142
MonkParakeet,Myiopsitta monachus,53,0.4399999976158142
MediterraneanFlycatcher,Muscicapa tyrrhenica,53,0.6200000047683716
BerthelotsPipit,Anthus berthelotii,53,0.6200000047683716
LittleBustard,Tetrax tetrax,54,0.699999988079071
Spur-wingedLapwing,Vanellus spinosus,54,0.3499999940395355
RaddesWarbler,Phylloscopus schwarzi,54,0.7599999904632568
LittleSwift,Apus affinis,54,0.6600000262260437
MenetriessWarbler,Sylvia mystacea,54,0.8199999928474426
Black-headedWeaver,Ploceus melanocephalus,54,0.7800000309944153
JackSnipe,Lymnocryptes minimus,55,0.3100000023841858
NorthernBobwhite,Colinus virginianus,55,0.6700000166893005
Pin-tailedSandgrouse,Pterocles alchata,55,0.28999999165534973
Black-neckedGrebe,Podiceps nigricollis,55,0.4699999988079071
PiedWheatear,Oenanthe pleschanka,55,0.10999999940395355
IndianPeafowl,Pavo cristatus,56,0.7800000309944153
CommonBulbul,Pycnonotus barbatus,56,0.4599999785423279
AzureTit,Cyanistes cyanus,56,0.4899999797344208
KrüpersNuthatch,Sitta krueperi,56,0.25
RockPartridge,Alectoris graeca,56,0.20999999344348907
RockPtarmigan,Lagopus muta,56,0.3199999928474426
PallassLeafWarbler,Phylloscopus proregulus,56,0.5099999904632568
NorthernHawk-Owl,Surnia ulula,57,0.5699999928474426
Short-toedSnakeEagle,Circaetus gallicus,57,0.3400000035762787
SiberianRubythroat,Calliope calliope,57,0.4699999988079071
White-spectacledBulbul,Pycnonotus xanthopygos,57,0.4699999988079071
NorthernFulmar,Fulmarus glacialis,59,0.4699999988079071
GreatGreyOwl,Strix nebulosa,59,0.32999998331069946
EuropeanStormPetrel,Hydrobates pelagicus,59,0.3799999952316284
