Common Name,Scientific Name,Count,Threshold
SpotlessStarling,Sturnus unicolor,285,0.23999999463558197
TawnyPipit,Anthus campestris,298,0.4899999797344208
GreenishWarbler,Phylloscopus trochiloides,299,0.25999999046325684
Gadwall,Mareca strepera,301,0.25999999046325684
CommonRedpoll,Acanthis flammea,303,0.25
CanadaGoose,Branta canadensis,307,0.2199999988079071
DartfordWarbler,Curruca undata,316,0.4099999964237213
BarnacleGoose,Branta leucopsis,317,0.7699999809265137
EurasianThree-toedWoodpecker,Picoides tridactylus,317,0.3400000035762787
ArcticTern,Sterna paradisaea,318,0.20999999344348907
BarredWarbler,Curruca nisoria,319,0.25
Yellow-browedWarbler,Phylloscopus inornatus,326,0.5699999928474426
PiedAvocet,Recurvirostra avosetta,329,0.2199999988079071
EasternSubalpineWarbler,Curruca cantillans,339,0.28999999165534973
CrestedLark,Galerida cristata,342,0.4399999976158142
NorthernWheatear,Oenanthe oenanthe,347,0.35999998450279236
CommonKestrel,Falco tinnunculus,348,0.38999998569488525
EurasianHoopoe,Upupa epops,353,0.4899999797344208
CollaredFlycatcher,Ficedula albicollis,358,0.699999988079071
GreyPlover,Pluvialis squatarola,358,0.44999998807907104
Black-tailedGodwit,Limosa limosa,360,0.07999999821186066
LittleEgret,Egretta garzetta,362,0.3400000035762787
GreaterWhite-frontedGoose,Anser albifrons,373,0.7099999785423279
SandwichTern,Thalasseus sandvicensis,375,0.1899999976158142
Rook,Corvus frugilegus,378,0.3999999761581421
EuropeanBee-eater,Merops apiaster,384,0.6700000166893005
EuropeanHerringGull,Larus argentatus,405,0.07000000029802322
LittleBittern,Ixobrychus minutus,410,0.41999998688697815
WaterPipit,Anthus spinoletta,412,0.6800000071525574
CommonGull,Larus canus,415,0.09999999403953552
MuteSwan,Cygnus olor,423,0.5
CommonHouseMartin,Delichon urbicum,426,0.07000000029802322
Black-crownedNightHeron,Nycticorax nycticorax,431,0.5300000309944153
Yellow-leggedGull,Larus michahellis,439,0.38999998569488525
RiverWarbler,Locustella fluviatilis,442,0.09999999403953552
EurasianWryneck,Jynx torquilla,443,0.26999998092651367
EurasianScopsOwl,Otus scops,445,0.1899999976158142
Black-wingedStilt,Himantopus himantopus,451,0.35999998450279236
SpottedCrake,Porzana porzana,453,0.2199999988079071
EurasianWigeon,Mareca penelope,461,0.20999999344348907
EurasianStone-curlew,Burhinus oedicnemus,466,0.26999998092651367
