ave585_species,ave585_english,w_classifier name,w_english,wikipedia link,has_ave585,has_w
Cyanistes caeruleus,EurasianBlueTit,Cyanistes_caeruleus,Eurasian Blue Tit,http://en.wikipedia.org/wiki/Eurasian_blue_tit,True,True
Cygnus columbianus,TundraSwan,Cygnus_columbianus,Tundra Swan,http://en.wikipedia.org/wiki/Tundra_swan,True,True
Cygnus cygnus,WhooperSwan,Cygnus_cygnus,Whooper Swan,http://en.wikipedia.org/wiki/Whooper_swan,True,True
Cygnus olor,MuteSwan,Cygnus_olor,Mute Swan,http://en.wikipedia.org/wiki/Mute_swan,True,True
Delichon urbicum,CommonHouseMartin,Delichon_urbicum,Common House Martin,http://en.wikipedia.org/wiki/Common_house_martin,True,True
Dendrocopos major,GreatSpottedWoodpecker,Dendrocopos_major,Great Spotted Woodpecker,http://en.wikipedia.org/wiki/Great_spotted_woodpecker,True,True
Dryobates minor,LesserSpottedWoodpecker,Dendrocopos_minor,Lesser Spotted Woodpecker,http://en.wikipedia.org/wiki/Lesser_spotted_woodpecker,True,True
Dryocopus martius,BlackWoodpecker,Dryocopus_martius,Black Woodpecker,http://en.wikipedia.org/wiki/Black_woodpecker,True,True
Egretta garzetta,LittleEgret,Egretta_garzetta,Little Egret,http://en.wikipedia.org/wiki/Little_egret,True,True
Emberiza calandra,CornBunting,Emberiza_calandra,Corn Bunting,http://en.wikipedia.org/wiki/Corn_bunting,True,True
Emberiza citrinella,Yellowhammer,Emberiza_citrinella,Yellowhammer,http://en.wikipedia.org/wiki/Yellowhammer,True,True
Emberiza schoeniclus,CommonReedBunting,Emberiza_schoeniclus,Common Reed Bunting,http://en.wikipedia.org/wiki/Common_reed_bunting,True,True
Erithacus rubecula,EuropeanRobin,Erithacus_rubecula,European Robin,http://en.wikipedia.org/wiki/European_robin,True,True
Falco peregrinus,PeregrineFalcon,Falco_peregrinus,Peregrine Falcon,http://en.wikipedia.org/wiki/Peregrine_falcon,True,True
Falco subbuteo,EurasianHobby,Falco_subbuteo,Eurasian Hobby,http://en.wikipedia.org/wiki/Eurasian_hobby,True,True
Falco tinnunculus,CommonKestrel,Falco_tinnunculus,Common Kestrel,http://en.wikipedia.org/wiki/Common_kestrel,True,True
Ficedula hypoleuca,EuropeanPiedFlycatcher,Ficedula_hypoleuca,European Pied Flycatcher,http://en.wikipedia.org/wiki/European_pied_flycatcher,True,True
Fringilla coelebs,CommonChaffinch,Fringilla_coelebs,Common Chaffinch,http://en.wikipedia.org/wiki/Common_chaffinch,True,True
Fringilla montifringilla,Brambling,Fringilla_montifringilla,Brambling,http://en.wikipedia.org/wiki/Brambling,True,True
Fulica atra,EurasianCoot,Fulica_atra,Eurasian Coot,http://en.wikipedia.org/wiki/Eurasian_coot,True,True
Fulmarus glacialis,NorthernFulmar,Fulmarus_glacialis,Northern Fulmar,http://en.wikipedia.org/wiki/Northern_fulmar,True,True
Gallinago gallinago,CommonSnipe,Gallinago_gallinago,Common Snipe,http://en.wikipedia.org/wiki/Common_snipe,True,True
Gallinula chloropus,CommonMoorhen,Gallinula_chloropus,Common Moorhen,http://en.wikipedia.org/wiki/Common_moorhen,True,True
Garrulus glandarius,EurasianJay,Garrulus_glandarius,Eurasian Jay,http://en.wikipedia.org/wiki/Eurasian_jay,True,True
Gavia stellata,Red-throatedLoon,Gavia_stellata,Red-throated Loon,http://en.wikipedia.org/wiki/Red-throated_loon,True,True
Grus grus,CommonCrane,Grus_grus,Common Crane,http://en.wikipedia.org/wiki/Common_crane,True,True
Haematopus ostralegus,EurasianOystercatcher,Haematopus_ostralegus,Eurasian Oystercatcher,http://en.wikipedia.org/wiki/Eurasian_oystercatcher,True,True
Hirundo rustica,BarnSwallow,Hirundo_rustica,Barn Swallow,http://en.wikipedia.org/wiki/Barn_swallow,True,True
Hydrobates pelagicus,EuropeanStormPetrel,Hydrobates_pelagicus,European Storm Petrel,http://en.wikipedia.org/wiki/European_storm_petrel,True,True
Ichthyaetus melanocephalus,MediterraneanGull,Ichthyaetus_melanocephalus,Mediterranean Gull,http://en.wikipedia.org/wiki/Mediterranean_gull,True,True
Iduna pallida,EasternOlivaceousWarbler,Iduna_pallida,Eastern Olivaceous Warbler,http://en.wikipedia.org/wiki/Eastern_olivaceous_warbler,True,True
Jynx torquilla,EurasianWryneck,Jynx_torquilla,Eurasian Wryneck,http://en.wikipedia.org/wiki/Eurasian_wryneck,True,True
Lagopus lagopus,WillowPtarmigan,Lagopus_lagopus,Willow Ptarmigan,http://en.wikipedia.org/wiki/Willow_ptarmigan,True,True
Larus argentatus,EuropeanHerringGull,Larus_argentatus,European Herring Gull,http://en.wikipedia.org/wiki/European_herring_gull,True,True
Larus canus,CommonGull,Larus_canus,Mew Gull,http://en.wikipedia.org/wiki/Common_gull,True,True
Larus fuscus,LesserBlack-backedGull,Larus_fuscus,Lesser Black-backed Gull,http://en.wikipedia.org/wiki/Lesser_black-backed_gull,True,True
Limosa limosa,Black-tailedGodwit,Limosa_limosa,Black-tailed Godwit,http://en.wikipedia.org/wiki/Black-tailed_godwit,True,True
Linaria cannabina,CommonLinnet,Linaria_cannabina,Common Linnet,http://en.wikipedia.org/wiki/Common_linnet,True,True
Locustella fluviatilis,RiverWarbler,Locustella_fluviatilis,River Warbler,http://en.wikipedia.org/wiki/River_warbler,True,True
Locustella luscinioides,SavisWarbler,Locustella_luscinioides,Savi's Warbler,http://en.wikipedia.org/wiki/Savi%27s_warbler,True,True
Locustella naevia,CommonGrasshopperWarbler,Locustella_naevia,Common Grasshopper Warbler,http://en.wikipedia.org/wiki/Common_grasshopper_warbler,True,True
Lophophanes cristatus,EuropeanCrestedTit,Lophophanes_cristatus,European Crested Tit,http://en.wikipedia.org/wiki/European_crested_tit,True,True
Loxia curvirostra,RedCrossbill,Loxia_curvirostra,Red Crossbill,http://en.wikipedia.org/wiki/Red_crossbill,True,True
Loxia leucoptera,Two-barredCrossbill,Loxia_leucoptera,Two-barred Crossbill,http://en.wikipedia.org/wiki/Two-barred_crossbill,True,True
Loxia pytyopsittacus,ParrotCrossbill,Loxia_pytyopsittacus,Parrot Crossbill,http://en.wikipedia.org/wiki/Parrot_crossbill,True,True
Lullula arborea,Woodlark,Lullula_arborea,Woodlark,http://en.wikipedia.org/wiki/Woodlark,True,True
Luscinia megarhynchos,CommonNightingale,Luscinia_megarhynchos,Common Nightingale,http://en.wikipedia.org/wiki/Common_nightingale,True,True
Luscinia svecica,Bluethroat,Luscinia_svecica,Bluethroat,http://en.wikipedia.org/wiki/Bluethroat,True,True
Lyrurus tetrix,BlackGrouse,Lyrurus_tetrix,Black Grouse,http://en.wikipedia.org/wiki/Black_grouse,True,True
